type_code,section,so_id,unite,caption
2.3,identification,SO0342,,"Fig. 2.3.2 : Duplex surélevé avec portes séparées, situé sur la rue Allard, à l’intersection de la rue Lacroix. SO0342. rue Springland, entre les rues Laurendeau et Hadley. SO0260."
2.4,identification,SO0200,,"Fig. 2.4.1 : Duplex de trois étages sans marge de recul avant, situé sur la rue d’Hibernia, entre les rues de Coleraine et de Rozel, SO0200."
2.4,traitement,,,"Fig. 2.4.2 : Duplex de trois étages avec marge de recul avant,"
2.4,traitement,SO0690,,"Fig. 2.4.3 : Duplex de trois étages revêtu de pierre, situé sur la situé au 2225-2247, rue Quesnel. SO0690. rue Mullins, entre les rues Charlevoix et Ropery. SO0163."
2.4,variantes,SO0247,,"Fig. 2.4.5 : Variante 1, duplex de trois étages avec porte Fig. 2.4.6 : Variante 1, duplex de trois étages avec porte cochère, situés au 6837-6843, rue Laurendeau, à l’intersection cochère et construits en série, situés sur la rue de la Montagne, de l’avenue Clifford. SO0247. entre les rues Ottawa et Wellington. SO0095."
2.4,variantes,SO0178,,"Fig.2.4.7 : Variante 2, triplex avec toit en fausse mansarde et Fig. 2.4.8 : Variante 2, triplex avec toit en fausse mansarde et portes jumelées. portes séparées, situé sur la rue Mullins, à l’intersection de la rue Richmond. SO0178."
2.5,identification,SO0085,,"Fig. 2.5.1 : Deux triplex jumelés avec escalier intérieur et portes assemblées au centre, situés sur la rue Murray, entre les rues William et Ottawa. SO0085."
2.5,variantes,SO0021,,"Fig. 2.5.2 : Variante 1, triplex avec escalier intérieur et entrée Fig. 2.5.3 : Variante 2, triplex avec escalier intérieur avec coin commune pour les logements supérieurs (bâtiment jumelé) tronqué, situé sur la rue Saint-Philippe, entre les rues Saintsitué sur la rue Sainte-Émilie, entre les rues Turgeon et Antoine Ouest et Saint-Jacques. SO0021. Bourget. SO0119."
2.5,variantes,SO0120,,"Fig. 2.5.4 : Variante 3, triplex avec escalier intérieur et porte cochère, situé sur la rue Sainte-Émilie, entre les rues Turgeon et Bourget. SO0120."
2.6,identification,,,"Fig. 2.6.1 : Triplex avec escalier extérieur, situé au 872-880,"
2.6,identification,SO0003,,"Fig. 2.6.2 : Triplex asymétrique, situé sur l’avenue Greene rue Agnès. SO0003. entre les rues Saint-Antoine Ouest et Saint-Jacques. SO0110."
2.6,ouvertures,,,"Fig. 2.6.3 : Triplex symétrique, situé sur la rue York, à"
2.6,ouvertures,SO0405,,"Fig. 2.6.4 : Triplex avec portes d’entrée du premier étage dans l’intersection de la rue De Roberval. SO0405. un alignement latéral, situé sur la rue du Square-Sir-GeorgeÉtienne-Cartier, entre les rues Notre-Dame Ouest et SainteÉmilie. SO0135."
2.6,variantes,SO0409,,"Fig. 2.6.5 : Triplex avec escalier extérieur jumelé, situé du côté est de la rue Desnoyers, à l’intersection de la rue Cazelais. SO0409."
2.7,identification,SO0138,,"Fig. 2.7.1 : Multiplex situé sur la rue Delinelle, entre les rues Notre-Dame Ouest et Depocas. SO0138."
2.7,ouvertures,,,"Fig. 2.7.2 : Multiplex situé sur la rue de Rozel, entre les rues"
2.7,ouvertures,SO0204,,"Fig. 2.7.3 : Multiplex avec porche en alcôve au premier étage, Butler et Charlevoix. SO0204. situé sur la rue Soulanges, entre les rues du Centre et Grand Trunk. SO0175."
3.1,identification,SO0321,,"Fig. 3.1.1 : Maison d’appartements située au 6661-6667, rue Hurteau. SO0321."
3.1,ouvertures,,,"Fig. 3.1.2 : Maison d’appartements située au 1701-1705, rue"
3.1,ouvertures,SO0244,,"Fig. 3.1.3 : Maison d’appartements avec saillie couronnée d’un Allard. SO0244. pignon, située du côté ouest de la rue Beaulieu, entre les rues Raudot et Allard. SO0374."
3.2,identification,,,"Fig. 3.2.1 : Conciergerie, située sur la rue Vinet, à l’intersection"
3.2,identification,SO0225,,Fig. 3.2.2 : Conciergerie du boulevard des Trinitaires. de l’avenue Lionel-Groulx. SO0225.
3.2,traitement,SO1071,,"Figure 3.2.3 : Conciergerie, 1960-1970, rue Le Ber. SO1071."
3.3,identification,SO1084,,"Fig. 3.3.1 : Immeuble d’appartements, rue Dick-Irvin. SO1084."
3.3,identification,SO3051,,"Fig. 3.3.2 : Immeuble d’appartements, Habitation Charlebois, 4450, rue Saint-Jacques. SO3051."
4,identification,,,"Fig. 4.1.1 : Immeuble à vocation mixte. Édifice O.-Labelle,"
4,identification,SO1706,,"Fig. 4.1.2 : Immeuble à vocation mixte. Coop du coin, 11242463-2473, rue du Centre, entre les rues Ropery et Charlevoix. 1130, rue Charlevoix et 2602-2612, rue de Châteauguay. SO1706. SO1679."
4,variantes,SO3530,,"Figure 4.1.6 : Variante 1, multiplex transformé en immeuble à vocation mixte, 7005, rue Jogues. SO3530."
5,identification,,,"Fig. 5.1.1 : Édifice de la banque Laurentienne, situé sur le"
5,identification,SO3638,,"Fig. 5.1.2 : Bâtiment du boulevard Monk, entre les rues Allard boulevard Monk, à l’intersection de la rue du Parc-Garneau. et Springland. SO3638. SO3635."
6,identification,,,"Fig. 6.1.1 : Merchants Manufacturing Co., 4000-4020, rue"
6,identification,SO1606,,"Fig. 6.1.2 : Édifice de Postes Canada, 225, rue Bridge. Saint-Ambroise, entre les rues Saint-Augustin et Louis-Cyr. SO1606. SO1589."
7,identification,SO1526,,"Fig. 7.1.1 : Marché Atwater, 110-154, avenue Atwater. SO1526."
7,identification,SO1610,,"Fig. 7.1.2 : Grace Church, 625, rue Fortune. SO1610."
